	image_path	ground_truth
22502	../data/kagglecatsanddogs_3367a/PetImages/Dog/5465.jpg	Dog
14584	../data/kagglecatsanddogs_3367a/PetImages/Dog/4199.jpg	Dog
19494	../data/kagglecatsanddogs_3367a/PetImages/Dog/684.jpg	Dog
18702	../data/kagglecatsanddogs_3367a/PetImages/Dog/5191.jpg	Dog
16450	../data/kagglecatsanddogs_3367a/PetImages/Dog/12230.jpg	Dog
12543	../data/kagglecatsanddogs_3367a/PetImages/Dog/1435.jpg	Dog
5892	../data/kagglecatsanddogs_3367a/PetImages/Cat/7816.jpg	Cat
22332	../data/kagglecatsanddogs_3367a/PetImages/Dog/11619.jpg	Dog
2643	../data/kagglecatsanddogs_3367a/PetImages/Cat/3838.jpg	Cat
13878	../data/kagglecatsanddogs_3367a/PetImages/Dog/6827.jpg	Dog
22102	../data/kagglecatsanddogs_3367a/PetImages/Dog/9458.jpg	Dog
5121	../data/kagglecatsanddogs_3367a/PetImages/Cat/12397.jpg	Cat
1571	../data/kagglecatsanddogs_3367a/PetImages/Cat/5679.jpg	Cat
1395	../data/kagglecatsanddogs_3367a/PetImages/Cat/3793.jpg	Cat
12222	../data/kagglecatsanddogs_3367a/PetImages/Cat/225.jpg	Cat
10749	../data/kagglecatsanddogs_3367a/PetImages/Cat/419.jpg	Cat
2813	../data/kagglecatsanddogs_3367a/PetImages/Cat/3408.jpg	Cat
5629	../data/kagglecatsanddogs_3367a/PetImages/Cat/8107.jpg	Cat
14042	../data/kagglecatsanddogs_3367a/PetImages/Dog/6364.jpg	Dog
22919	../data/kagglecatsanddogs_3367a/PetImages/Dog/6783.jpg	Dog
8010	../data/kagglecatsanddogs_3367a/PetImages/Cat/3925.jpg	Cat
21274	../data/kagglecatsanddogs_3367a/PetImages/Dog/333.jpg	Dog
22277	../data/kagglecatsanddogs_3367a/PetImages/Dog/9868.jpg	Dog
22298	../data/kagglecatsanddogs_3367a/PetImages/Dog/787.jpg	Dog
17575	../data/kagglecatsanddogs_3367a/PetImages/Dog/2944.jpg	Dog
9207	../data/kagglecatsanddogs_3367a/PetImages/Cat/9563.jpg	Cat
7373	../data/kagglecatsanddogs_3367a/PetImages/Cat/8530.jpg	Cat
